Site      Inst    Year   MM   DD Jday   hh   mm        #     Conc      LWC     Rain      dBZ       Dm     DMax  Sigma_M    Wx_Code4677
UW       apu30    2015    3   28   87    2   56  352.00000  364.78064    0.22295    4.18088   35.48431    1.70359    3.34700    0.60429   65
UW       apu30    2015    3   28   87    2   57  381.00000  426.80011    0.21147    3.50707   33.21206    1.50288    2.83200    0.37292   65
UW       apu30    2015    3   28   87    2   58  398.00000  405.76242    0.24888    4.68721   35.32915    1.67084    2.83200    0.48252   65
UW       apu30    2015    3   28   87    2   59  401.00000  431.79602    0.26298    5.19623   38.13677    1.89183    4.37800    0.96101   65
UW       apu30    2015    3   28   87    3    0  419.00000  469.35190    0.23749    4.23713   34.89767    1.61415    3.34700    0.50260   65
UW       apu30    2015    3   28   87    3    1  364.00000  403.88412    0.18677    3.17292   33.52283    1.51828    3.34700    0.52967   63
UW       apu30    2015    3   28   87    3    2  306.00000  336.68506    0.12803    2.10555   30.61565    1.41227    2.83200    0.40095   63
UW       apu30    2015    3   28   87    3    3  303.00000  341.56686    0.17508    3.15956   33.84056    1.65355    2.83200    0.52597   65
UW       apu30    2015    3   28   87    3    4  241.00000  270.38181    0.14524    2.50464   32.40271    1.59679    2.83200    0.43650   63
UW       apu30    2015    3   28   87    3    5  247.00000  273.26993    0.14873    2.77034   35.65260    1.78370    4.37800    1.08464   65
UW       apu30    2015    3   28   87    3    6  265.00000  291.63797    0.15618    2.55303   31.69859    1.49581    2.83200    0.34364   63
UW       apu30    2015    3   28   87    3    7  320.00000  336.14938    0.16283    2.62743   31.32220    1.40951    2.83200    0.34051   63
UW       apu30    2015    3   28   87    3    8  291.00000  322.54529    0.13309    1.98439   29.33227    1.30163    2.83200    0.26643   63
UW       apu30    2015    3   28   87    3    9  271.00000  289.24158    0.13744    2.57559   33.86366    1.67616    3.86200    0.78085   65
UW       apu30    2015    3   28   87    3   10  279.00000  313.31830    0.11055    1.61941   27.59174    1.22878    2.18900    0.21964   63
UW       apu30    2015    3   28   87    3   11  313.00000  342.23575    0.13134    2.03326   30.00401    1.31759    2.83200    0.37145   63
UW       apu30    2015    3   28   87    3   12  368.00000  416.53470    0.16549    2.46388   30.93258    1.33821    2.83200    0.34325   63
UW       apu30    2015    3   28   87    3   13  318.00000  341.08517    0.14636    2.36187   31.16365    1.41216    2.83200    0.39691   63
UW       apu30    2015    3   28   87    3   14  299.00000  331.53073    0.12887    1.98285   30.36073    1.35388    2.83200    0.42143   63
UW       apu30    2015    3   28   87    3   15  292.00000  349.13663    0.10723    1.50978   28.24024    1.22519    2.83200    0.32692   63
UW       apu30    2015    3   28   87    3   16  250.00000  300.45477    0.09376    1.25974   26.87492    1.16052    2.83200    0.26594   63
UW       apu30    2015    3   28   87    3   17  210.00000  269.29935    0.06631    0.88784   24.39598    1.12207    2.18900    0.20933   63
UW       apu30    2015    3   28   87    3   18  204.00000  254.21439    0.07421    1.04660   26.76014    1.23088    2.83200    0.33415   63
UW       apu30    2015    3   28   87    3   19  194.00000  227.40167    0.08359    1.25442   28.09280    1.35098    2.83200    0.35093   63
UW       apu30    2015    3   28   87    3   20  152.00000  198.68123    0.06877    1.19204   31.39018    1.62123    3.86200    1.01046   63
UW       apu30    2015    3   28   87    3   21  128.00000  161.59059    0.05215    0.76737   25.11212    1.30031    2.18900    0.26718   63
